,A#M,A#m,A#o,AM,Am,Ao,BM,Bm,Bo,C#M,C#m,C#o,CM,Cm,Co,D#M,D#m,D#o,DM,Dm,Do,EM,Em,End,Eo,F#M,F#m,F#o,FM,Fm,Fo,G#M,G#m,G#o,GM,Gm,Go
F#M,0.023133977,0.077021988,0.029411765,0.022765197,0.011832109,0.181818182,0.165638661,0.08079655,0.04,0.145601291,0.09973969,0.016853933,0.01013435,0.023998109,0.08462867,0.025212565,0.09928076,0.010899183,0.008369443,0.006857855,0.064343164,0.063601487,0.019113924,0,0.021978022,0.188071476,0.044299757,0.013586957,0.017912545,0.037456008,0.017094017,0.048555187,0.098562889,0.005249344,0.008490456,0.009302326,0.134048257
F#m,0.005886508,0.006172046,0.005347594,0.045053635,0.012703948,0.005194805,0.064315228,0.045535261,0.002666667,0.029701372,0.051787916,0,0.004044442,0.003428301,0.01208981,0.003424658,0.013742615,0.04359673,0.031459607,0.005236908,0,0.083742956,0.053924051,0,0.032967033,0.008665511,0.142857143,0.002717391,0.004331792,0.010432378,0.071225071,0.008585978,0.027724787,0.01312336,0.01094976,0.003519799,0.034852547
F#o,0.002590064,0.00090009,0,0.000297974,0.001370034,0.007792208,0.000179651,0.000253678,0,0.000161421,0.00027401,0,0.002091953,0.001182173,0,0.001712329,0.000513743,0,0.00053422,0.001246883,0.002680965,0.000599449,0.000886076,0,0.005494505,0.000537859,0.000638325,0.046195652,0.001580519,0.007415787,0.022792023,0.000592136,0.000508712,0.007874016,0.000409884,0.003394092,0.002680965
FM,0.165646339,0.081008101,0.037433155,0.023837902,0.076597335,0.028571429,0.007964549,0.023592085,0.130666667,0.004761905,0.003425127,0.02247191,0.094602761,0.093628088,0.041450777,0.063651393,0.019522219,0.021798365,0.026354841,0.099002494,0.016085791,0.018463014,0.039367089,0,0.016483516,0.008426463,0.009574876,0.135869565,0.188374407,0.04537456,0.014245014,0.022738039,0.012209081,0.194225722,0.049713081,0.097674419,0.00536193
Fm,0.06486932,0.045390253,0.002673797,0.005780691,0.006351974,0.005194805,0.005090125,0.002663623,0.018666667,0.010411622,0.003425127,0,0.036074567,0.048232652,0,0.085380255,0.053300796,0.032697548,0.003620823,0.014214464,0.042895442,0.004495864,0.010886076,0,0.068681319,0.010757186,0.00382995,0.035326087,0.008136744,0.142659628,0.002849003,0.045653719,0.01284497,0.005249344,0.00878323,0.028284098,0.013404826
Fo,0.000176595,0.000257169,0,0.002622169,0.000996388,0,0.002515121,0.001141553,0,0.000726392,0.001096041,0.005617978,0.000185951,0.000236435,0,0.000649504,0.00089905,0.005449591,0.001721375,0.000498753,0,0.001558566,0.007594937,0,0.005494505,0.000358573,0.003446955,0.002717391,0.000351226,0.000628457,0.042735043,0.000296068,0.001398957,0.007874016,0.000409884,0.000502828,0.008042895
G#M,0.049152343,0.09746689,0.005347594,0.00852205,0.008967493,0.14025974,0.022935505,0.012430238,0.184,0.124374496,0.073434717,0.02247191,0.075496258,0.084170706,0.037996546,0.112895607,0.094785512,0.010899183,0.007716507,0.024064838,0.126005362,0.008512169,0.006835443,0,0.054945055,0.064483356,0.019532746,0.02173913,0.025463911,0.099924585,0.017094017,0.189128375,0.044003561,0.01312336,0.018269118,0.039094909,0.016085791
G#m,0.008829762,0.028031375,0.013368984,0.011144219,0.003736455,0.033766234,0.045272172,0.012303399,0.002666667,0.079661017,0.047677764,0.005617978,0.008367812,0.006856602,0.003454231,0.021551724,0.050346776,0,0.005401555,0.002369077,0.018766756,0.031171322,0.005063291,0,0,0.085161059,0.054640623,0.035326087,0.003629339,0.013700352,0.045584046,0.008171483,0.142820806,0.002624672,0.00445017,0.011062225,0.067024129
G#o,0.000706381,0.000514337,0.00802139,0.000357569,0.003487358,0.002597403,0.000299419,0.001395231,0.008,0.000242131,0.00027401,0,0.002138441,0.000945738,0,0.000236183,0.000385307,0,0.002611741,0.000997506,0,0.000539504,0.001265823,0,0.002747253,0.000597621,0.000893655,0.005434783,0.001697594,0.000502765,0,0.000532923,0.00063589,0.049868766,0.001522427,0.007668133,0.037533512
GM,0.023487167,0.012215507,0.187165775,0.049821216,0.097396936,0.005194805,0.023234924,0.076991375,0.029333333,0.007425343,0.023838882,0.157303371,0.133373623,0.077668755,0.051813472,0.008679735,0.00680709,0.065395095,0.113373301,0.098877805,0.010723861,0.025716341,0.099240506,0,0.013736264,0.018526265,0.038682497,0.016304348,0.064450038,0.019607843,0.01994302,0.008882046,0.009411166,0.131233596,0.188136784,0.045631678,0.013404826
Gm,0.044502001,0.013244182,0.005347594,0.00852205,0.027400673,0.012987013,0.006048266,0.00608828,0.005333333,0.003712672,0.001507056,0,0.053739947,0.044331481,0.013816926,0.030526689,0.005137426,0,0.02214044,0.050374065,0,0.003596691,0.013544304,0,0.041208791,0.004422399,0.011106856,0.067934783,0.085582158,0.055555556,0.031339031,0.010954524,0.00368816,0.034120735,0.008197681,0.140791955,0.002680965
Go,0.000294325,0.001414427,0.00802139,0.000595948,0.000498194,0.007792208,0.002634888,0.001014713,0,0.00306699,0.001233046,0,0.000325415,0.000236435,0,0.000590458,0.001284357,0.002724796,0.000237431,0.000374065,0,0.001738401,0.000506329,0,0,0.001374529,0.00791523,0.038043478,0.000585377,0.000879839,0.005698006,0.000296068,0.003433804,0.002624672,0.000585549,0.000628536,0.050938338
