,A#M,A#m,A#o,AM,Am,Ao,BM,Bm,Bo,C#M,C#m,C#o,CM,Cm,Co,D#M,D#m,D#o,DM,Dm,Do,EM,Em,End,Eo,F#M,F#m,F#o,FM,Fm,Fo,G#M,G#m,G#o,GM,Gm,Go
D#M,0.107758883,0.069492426,0.014367816,0.009010121,0.02086016,0.114206128,0.01351938,0.008651199,0.08908046,0.037887678,0.018439716,0.03030303,0.062602173,0.103309317,0.037105751,0.151644858,0.039155827,0.020588235,0.015736415,0.035304729,0.023121387,0.010555728,0.011646166,0,0.091715976,0.031062434,0.01292876,0.087719298,0.054925735,0.127988565,0.012269939,0.160708811,0.06717497,0.04519774,0.02413584,0.094018205,0.043227666
D#m,0.023038947,0.043050757,0.00862069,0.005739324,0.002832861,0.008356546,0.038139535,0.008257963,0.011494253,0.092958927,0.05106383,0.006060606,0.012260794,0.015630724,0.040816327,0.010639599,0.126758694,0.005882353,0.005347922,0.008890607,0.083815029,0.014095002,0.007327925,0,0.118343195,0.053028897,0.011477573,0.005847953,0.011033647,0.02793659,0.009202454,0.046354773,0.057841462,0,0.005154639,0.007672302,0.031700288
D#o,0.000365698,0,0,0.002036534,0.001030131,0.002785515,0.000682171,0.001179709,0.002873563,0.000419111,0.000851064,0.012121212,0.002932974,0.000366345,0,0.000244588,0.000663658,0.014705882,0.001352348,0.004896276,0.040462428,0.000434648,0.003140539,0,0.00295858,0.000247509,0.001451187,0,0.000848742,0.000909563,0.006134969,0.000613158,0.000394374,0,0.002789569,0.00130039,0
DM,0.013347961,0.008902471,0.08908046,0.110034559,0.069405099,0.013927577,0.034294574,0.101586053,0.031609195,0.018943839,0.037021277,0.03030303,0.05875565,0.024911467,0.031539889,0.010272716,0.011547651,0.070588235,0.15060241,0.039556758,0.020231214,0.055945359,0.127715258,0,0.00887574,0.023637151,0.094327177,0.026315789,0.031039709,0.012993763,0.085889571,0.008338954,0.020244512,0.098870056,0.157853244,0.06710013,0.04610951
Dm,0.037788749,0.008370981,0.011494253,0.022833868,0.044810713,0.011142061,0.006263566,0.014287587,0.043103448,0.00402347,0.008085106,0.121212121,0.065438985,0.047746978,0.042671614,0.014247279,0.007167507,0.126470588,0.010634374,0.123953099,0.005780347,0.011611301,0.030489401,0,0.00887574,0.005321453,0.00817942,0.032163743,0.053288875,0.012214137,0.006134969,0.0061929,0.003023531,0.008474576,0.04827168,0.058907672,0
Do,0.000609496,0.001195854,0.002873563,0.000370279,0,0,0.003844961,0.000524315,0,0.001173512,0.005248227,0.042424242,0.000721223,0.00073269,0.016697588,0.000366883,0.003185559,0.002941176,0.000368822,0.000515398,0.014450867,0.00099348,0.000915991,0,0.00887574,0.002970113,0.001319261,0,0.000303122,0.001429314,0,0.002023423,0.000920205,0.002824859,0.0004245,0.000390117,0
EM,0.008289145,0.020462397,0.100574713,0.157923969,0.065670873,0.044568245,0.109395349,0.069078516,0.011494253,0.043503772,0.104680851,0.060606061,0.012356957,0.009158627,0.059369202,0.015592516,0.035439342,0.020588235,0.072227686,0.02473908,0.043352601,0.152064576,0.038864172,0,0.020710059,0.055813378,0.125593668,0.00877193,0.010184905,0.011434511,0.070552147,0.023974493,0.092940713,0.039548023,0.030745907,0.013003901,0.09221902
Em,0.005729262,0.002790327,0.00862069,0.047642557,0.057816122,0,0.023131783,0.045222179,0.00862069,0.007460184,0.014609929,0.060606061,0.030435619,0.008303822,0.016697588,0.005380947,0.008627555,0.088235294,0.078620605,0.050122407,0.023121387,0.010493636,0.125621565,0,0.00591716,0.011385434,0.029419525,0.00877193,0.014186117,0.007016632,0.128834356,0.005334478,0.007361641,0.031073446,0.052941176,0.011703511,0.005763689
End,0.000609496,0.001195854,0.002873563,0.000555418,0.001030131,0.002785515,0.000496124,0.00104863,0.002873563,0.000670578,0.000992908,0.006060606,0.000528897,0.001099035,0.001855288,0.000489177,0.001061853,0.002941176,0.000676174,0.001159644,0.002890173,0.000558833,0.001177702,1,0.00591716,0.000556896,0.001055409,0.002923977,0.000484995,0.000909563,0.003067485,0.000551843,0.001051663,0.002824859,0.000545785,0.001040312,0.002881844
Eo,0.002316085,0.001062982,0.002873563,0.000431992,0.000386299,0,0.000310078,0,0,0.004610226,0.000425532,0,0.000769305,0.001099035,0.001855288,0.001406384,0.004512875,0.023529412,0.000368822,0.000773096,0.005780347,0.00024837,0.000654279,0,0.014792899,0.000866283,0.000923483,0.005847953,0.000424371,0.003378378,0.003067485,0.002881844,0.001314579,0,0.000303214,0.00130039,0
F#M,0.023282745,0.093808132,0.040229885,0.0304863,0.012747875,0.08356546,0.160124031,0.067374492,0.048850575,0.141743504,0.073900709,0.024242424,0.010241369,0.020881671,0.066790353,0.033814357,0.099946907,0.032352941,0.0132776,0.008632908,0.089595376,0.073144986,0.024993457,0,0.038461538,0.151908917,0.038522427,0.020467836,0.015277357,0.034693347,0.021472393,0.055490833,0.128171421,0.008474576,0.01055185,0.011443433,0.069164265
F#m,0.005180716,0.007972362,0.031609195,0.052641323,0.01184651,0.005571031,0.046697674,0.058592214,0,0.031265717,0.047943262,0.006060606,0.004615828,0.002930761,0.00742115,0.006114712,0.014865941,0.041176471,0.038234571,0.007859812,0.011560694,0.077739832,0.049463491,0,0.023668639,0.010519151,0.126781003,0.005847953,0.005153077,0.008835759,0.095092025,0.011527378,0.02957802,0.008474576,0.014311704,0.006762029,0.123919308
F#o,0.002864631,0.001328727,0,0.000246853,0.001673963,0,0.000434109,0.000393236,0,0.000335289,0,0,0.001730936,0.00097692,0.001855288,0.003546533,0.000530926,0,0.000676174,0.001159644,0.002890173,0.000558833,0.000785135,0,0,0.000309387,0.000659631,0.014619883,0.001212489,0.00493763,0.024539877,0.000981053,0.000920205,0.008474576,0.000485143,0.003250975,0.002881844
FM,0.159017493,0.068030826,0.040229885,0.024129844,0.094385784,0.038997214,0.008310078,0.020710447,0.100574713,0.009723386,0.004255319,0.060606061,0.09236465,0.070826719,0.048237477,0.072153602,0.023758959,0.041176471,0.035652815,0.102950651,0.031791908,0.016081962,0.035592777,0,0.020710059,0.010581028,0.011609499,0.070175439,0.152834192,0.038981289,0.021472393,0.030780551,0.013014329,0.096045198,0.056519102,0.128868661,0.008645533
Fm,0.047174986,0.058729737,0,0.005307332,0.007854751,0.030640669,0.005953488,0.002883733,0.00862069,0.017770327,0.004113475,0.006060606,0.038128666,0.045671022,0.011131725,0.07961355,0.049376161,0.020588235,0.006454389,0.013915733,0.043352601,0.005339957,0.00902905,0,0.091715976,0.013984283,0.006860158,0.122807018,0.010548651,0.126949064,0.006134969,0.053344779,0.012225582,0.005649718,0.011704063,0.029908973,0.008645533
Fo,0.000243798,0.000398618,0,0.002962232,0.001416431,0,0.002108527,0.000917551,0.002873563,0.000838223,0.001134752,0.006060606,0.000336571,0.000122115,0,0.000489177,0.00079639,0,0.003688222,0.000515398,0,0.00124185,0.00497252,0,0.00591716,0.000309387,0.002902375,0.002923977,0.000303122,0.000649688,0.015337423,0.000245263,0.001446037,0,0.000909642,0.000910273,0.008645533
G#M,0.056439325,0.126760563,0.00862069,0.010491237,0.011202678,0.066852368,0.031007752,0.012976799,0.086206897,0.119782062,0.057588652,0.036363636,0.074430234,0.101233362,0.046382189,0.110003669,0.069684099,0.014705882,0.00823703,0.020873599,0.089595376,0.013536169,0.009159906,0,0.079881657,0.072953406,0.025065963,0.038011696,0.03461655,0.102910603,0.027607362,0.152124594,0.037859866,0.019774011,0.015767132,0.036150845,0.020172911
G#m,0.011519473,0.030693596,0.00862069,0.014440879,0.007082153,0.119777159,0.053023256,0.01179709,0.002873563,0.061609388,0.06070922,0,0.005529378,0.008181707,0.020408163,0.023174758,0.044730555,0.008823529,0.005962626,0.002834686,0.00867052,0.038000621,0.008374771,0,0.014792899,0.079141142,0.049736148,0.023391813,0.006123068,0.014293139,0.04601227,0.010485008,0.126593927,0.005649718,0.005154639,0.008712614,0.089337176
G#o,0.000975194,0.000930109,0.00862069,0.000431992,0.00321916,0.002785515,0.000248062,0.001441867,0,0.000251467,0.000425532,0,0.002548322,0.00122115,0,0.000366883,0,0,0.002212933,0.001030795,0.002890173,0.000683018,0.001177702,0,0.00295858,0.000556896,0.000791557,0.005847953,0.003637466,0.000779626,0,0.000306579,0.000657289,0.014124294,0.001212856,0.00520156,0.040345821
GM,0.031876638,0.013021525,0.086206897,0.056467539,0.125676024,0.008356546,0.023565891,0.093983484,0.040229885,0.007963118,0.021702128,0.133333333,0.129579767,0.065087312,0.055658627,0.013819249,0.008627555,0.094117647,0.109970494,0.071124855,0.014450867,0.034461347,0.101151531,0,0.032544379,0.015654972,0.035883905,0.023391813,0.073234313,0.025727651,0.033742331,0.010485008,0.011436834,0.06779661,0.152637962,0.03953186,0.020172911
Gm,0.053391845,0.012622907,0.005747126,0.011355221,0.02948751,0.008356546,0.005395349,0.007733648,0.028735632,0.003017603,0.001702128,0,0.039907683,0.055684455,0.005565863,0.037911214,0.00822936,0.011764706,0.0232358,0.044324185,0.00867052,0.006209252,0.014263282,0,0.044378698,0.00538333,0.008970976,0.090643275,0.078993634,0.050285863,0.024539877,0.014470538,0.006967267,0.121468927,0.010794421,0.127178153,0.005763689
Go,0.000243798,0.0014616,0,0.000987411,0.000901365,0.008356546,0.002976744,0.001310788,0,0.002514669,0.001134752,0.006060606,0.000528897,0.000366345,0,0.000733765,0.001194585,0.002941176,0.000368822,0,0,0.003911829,0.000523423,0,0,0.001237547,0.005013193,0.040935673,0.000606244,0.000519751,0.006134969,0.000367895,0.003023531,0.002824859,0.000303214,0.000650195,0.014409222
